x_in,y_in,angle_in,x_out,y_out,angle_left
1.000000,0.000000,0.000000,268442683,-4722,4723
1.000000,0.000000,0.523599,232476228,134224731,-3851
1.000000,0.000000,0.785398,189820587,189814696,4123
0.500000,0.500000,-0.523599,183350477,49125750,3851
0.800000,-0.200000,0.349066,220165805,22996075,4245
